Unnamed: 0,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,paraphrases,pop,em_scores,start_scores,f1_scores,uncertainty_metric,prob
14201,Devon,capital,Exeter,792157,422,187060,"[""Devonshire""]",[],http://www.wikidata.org/entity/Q23156,http://www.wikidata.org/entity/Q134672,Devon,Exeter,38425,26040,What is the capital of Devon?,"[""Exeter""]","['What is the capital of Devon?', 'What is the primary city in Devon?', 'Which urban center holds a central role in Devon?', 'Which city houses the main government of Devon?', 'What city is the main administrative center of Devon?', 'What urban area holds the capital status of Devon?', 'Which city is the political focal point of Devon?', 'Which city is the primary seat of authority for Devon?', 'What is the principal city of Devon?', 'What is the chief city of Devon?']",64465,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.25, 0.25, 0.25, 0.33333333333333337, 0.33333333333333337, 0.33333333333333337, 0.33333333333333337, 0.33333333333333337, 0.25, 0.25]","[0.21741234790810085, 0.20506936086505256, 0.15762031798558207, 0.4896945365269677, 0.2508741205837614, 0.28682082052706936, 0.24736045916114766, 0.27170408573810617, 0.2139439437503038, 0.21031850797503412]","[0.39454836, 0.36358413, 0.42982632, 0.011539592, 0.38792047, 0.24722365, 0.40493843, 0.052987304, 0.34749985, 0.37286898]"
13907,Kingdom of Bulgaria,capital,Sofia,265170,422,1407519,"[""Bulgarian Kingdom"",""Tsarstvo Balgariya""]","[""Serdica"",""Sredez"",""Sofija"",""Sredets""]",http://www.wikidata.org/entity/Q147909,http://www.wikidata.org/entity/Q472,Kingdom of Bulgaria,Sofia,19121,44893,What is the capital of Kingdom of Bulgaria?,"[""Sofia"", ""Serdica"", ""Sredez"", ""Sofija"", ""Sredets""]","['What is the capital of Kingdom of Bulgaria?', 'What is the primary city in Kingdom of Bulgaria?', 'Which urban center holds a central role in Kingdom of Bulgaria?', 'Which city houses the main government of Kingdom of Bulgaria?', 'What city is the main administrative center of Kingdom of Bulgaria?', 'What urban area holds the capital status of Kingdom of Bulgaria?', 'Which city is the political focal point of Kingdom of Bulgaria?', 'Which city is the primary seat of authority for Kingdom of Bulgaria?', 'What is the principal city of Kingdom of Bulgaria?', 'What is the chief city of Kingdom of Bulgaria?']",64014,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.4, 0.4, 0.4, 0.4, 0.2857142857142857, 0.5, 0.4, 0.33333333333333337, 0.4, 0.2857142857142857]","[0.177643684533409, 0.18991899027016748, 0.28114323796872487, 0.24119166300435835, 0.25957336892607275, 0.2162726100278456, 0.2147303434811048, 0.21204281057265867, 0.17394890076753117, 0.21592260828137524]","[0.57892776, 0.5562481, 0.09041322, 0.09505271, 0.029380709, 0.003360254, 0.49092916, 0.0805094, 0.5948098, 0.21429616]"
13964,Solomon Islands,capital,Honiara,2289728,422,1271974,"[""sb"",""\ud83c\uddf8\ud83c\udde7"",""SOL""]",[],http://www.wikidata.org/entity/Q685,http://www.wikidata.org/entity/Q40921,Solomon Islands,Honiara,56765,6170,What is the capital of Solomon Islands?,"[""Honiara""]","['What is the capital of Solomon Islands?', 'What is the primary city in Solomon Islands?', 'Which urban center holds a central role in Solomon Islands?', 'Which city houses the main government of Solomon Islands?', 'What city is the main administrative center of Solomon Islands?', 'What urban area holds the capital status of Solomon Islands?', 'Which city is the political focal point of Solomon Islands?', 'Which city is the primary seat of authority for Solomon Islands?', 'What is the principal city of Solomon Islands?', 'What is the chief city of Solomon Islands?']",62935,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.27919943899269845, 0.2882674865252563, 0.29927101811826984, 0.239141025024681, 0.26672347406834795, 0.3989239229620791, 0.1915994566503006, 0.21979338381726277, 0.3134851864885214, 0.3310630828060835]","[0.08160402, 0.10287138, 0.3037349, 0.19141194, 0.04079881, 0.069073506, 0.56007063, 0.09648047, 0.0054652845, 0.31561917]"
14052,Kent,capital,Maidstone,795586,422,744818,"[""Kent, England""]",[],http://www.wikidata.org/entity/Q23298,http://www.wikidata.org/entity/Q213180,Kent,Maidstone,52413,10333,What is the capital of Kent?,"[""Maidstone""]","['What is the capital of Kent?', 'What is the primary city in Kent?', 'Which urban center holds a central role in Kent?', 'Which city houses the main government of Kent?', 'What city is the main administrative center of Kent?', 'What urban area holds the capital status of Kent?', 'Which city is the political focal point of Kent?', 'Which city is the primary seat of authority for Kent?', 'What is the principal city of Kent?', 'What is the chief city of Kent?']",62746,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0.2857142857142857, 0.4, 0.4, 0.33333333333333337, 0.4, 0, 0, 0]","[0.2451472073697294, 0.4501724722628227, 0.15961979988879507, 0.27622198637681195, 0.23722699492751062, 0.4079502508608309, 0.2512614239105444, 0.3405730134093407, 0.2248356333740354, 0.2509301728649843]","[0.37587303, 0.06903097, 0.35214773, 0.30008066, 0.43717113, 0.022930976, 0.39333263, 0.017506413, 0.25899512, 0.40150294]"
13921,Gênes,capital,Genoa,60752,422,242614,"[""Genes"",""Genes Department""]","[""Genoa, Italy"",""Genova, Italy"",""Genova""]",http://www.wikidata.org/entity/Q1098820,http://www.wikidata.org/entity/Q1449,Gênes,Genoa,520,60300,What is the capital of Gênes?,"[""Genoa"", ""Genoa, Italy"", ""Genova, Italy"", ""Genova""]","['What is the capital of Gênes?', 'What is the primary city in Gênes?', 'Which urban center holds a central role in Gênes?', 'Which city houses the main government of Gênes?', 'What city is the main administrative center of Gênes?', 'What urban area holds the capital status of Gênes?', 'Which city is the political focal point of Gênes?', 'Which city is the primary seat of authority for Gênes?', 'What is the principal city of Gênes?', 'What is the chief city of Gênes?']",60820,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0.4, 0, 0.4, 0, 0.2857142857142857, 0, 0, 0]","[0.2149634149430991, 0.3138710879083799, 0.3045154654577129, 0.20743527882140483, 0.388117955364216, 0.5609423248931191, 0.2850888480402325, 0.24241639245081634, 0.5750416395578928, 0.5861109701978438]","[0.51306295, 0.057951655, 0.23636995, 0.06691412, 0.11624804, 0.010277279, 0.152392, 0.4846771, 0.021672444, 0.0026173326]"
13786,Comoros,capital,Moroni,2926642,422,1242369,"[""Juzur al-Qumur"",""Juzur al-Qamar"",""Union of the Comoros"",""Udzima wa Komori"",""Union des Comores"",""al-Itti\u1e25\u0101d al-Qumur\u012b"",""km"",""\ud83c\uddf0\ud83c\uddf2"",""Massiwa ya komori"",""ouvoimoja wakomori"",""COM"",""the Comoros""]","[""Moroni, Comoros""]",http://www.wikidata.org/entity/Q970,http://www.wikidata.org/entity/Q3901,Comoros,"Moroni, Comoros",51673,6072,What is the capital of Comoros?,"[""Moroni"", ""Moroni, Comoros""]","['What is the capital of Comoros?', 'What is the primary city in Comoros?', 'Which urban center holds a central role in Comoros?', 'Which city houses the main government of Comoros?', 'What city is the main administrative center of Comoros?', 'What urban area holds the capital status of Comoros?', 'Which city is the political focal point of Comoros?', 'Which city is the primary seat of authority for Comoros?', 'What is the principal city of Comoros?', 'What is the chief city of Comoros?']",57745,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.33333333333333337, 0.25, 0.33333333333333337, 0.2857142857142857, 0.25, 0.2857142857142857, 0.33333333333333337, 0.33333333333333337, 0.4, 0.4]","[0.19107276883100735, 0.20607307587749685, 0.3977271913462525, 0.3469592001623383, 0.19700327651565724, 0.19178444583920393, 0.21393518223779956, 0.1775221594027842, 0.2473680538712599, 0.29618428556655696]","[0.5402272, 0.1502346, 0.11759246, 0.011576927, 0.15073565, 0.17614083, 0.4952122, 0.5863601, 0.1562214, 0.13696209]"
13792,Almoravid dynasty,capital,Marrakesh,2586925,422,6691,"[""Almoravids"",""Almoravid Empire""]","[""Marrakech, Morocco"",""Marrakech""]",http://www.wikidata.org/entity/Q75613,http://www.wikidata.org/entity/Q101625,Almoravid dynasty,Marrakesh,17568,38725,What is the capital of Almoravid dynasty?,"[""Marrakesh"", ""Marrakech, Morocco"", ""Marrakech"", ""Aghmat""]","['What is the capital of Almoravid dynasty?', 'What is the primary city in Almoravid dynasty?', 'Which urban center holds a central role in Almoravid dynasty?', 'Which city houses the main government of Almoravid dynasty?', 'What city is the main administrative center of Almoravid dynasty?', 'What urban area holds the capital status of Almoravid dynasty?', 'Which city is the political focal point of Almoravid dynasty?', 'Which city is the primary seat of authority for Almoravid dynasty?', 'What is the principal city of Almoravid dynasty?', 'What is the chief city of Almoravid dynasty?']",56293,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0.33333333333333337, 0.33333333333333337, 0.5, 0.33333333333333337, 0, 0.4, 0.4, 0.33333333333333337, 0.4]","[0.29979674261385125, 0.20678505993542087, 0.1595367463362564, 0.2738265460450787, 0.20648308123759782, 0.2774818944646674, 0.2501187531862874, 0.24063199174966232, 0.21333414722333227, 0.22517718658688615]","[0.0667641, 0.24795137, 0.3482639, 0.07434784, 0.24564639, 0.32527047, 0.39567748, 0.42761186, 0.22330973, 0.051364698]"
13883,Province of South Carolina,capital,Charleston,851502,422,1439799,"[""Province of South-Carolina"",""South Carolina"",""South-Carolina"",""So. Carolina""]","[""Charleston, South Carolina"",""Charles Town""]",http://www.wikidata.org/entity/Q2513167,http://www.wikidata.org/entity/Q47716,Province of South Carolina,"Charleston, South Carolina",4026,52132,What is the capital of Province of South Carolina?,"[""Charleston"", ""Charleston, South Carolina"", ""Charles Town""]","['What is the capital of Province of South Carolina?', 'What is the primary city in Province of South Carolina?', 'Which urban center holds a central role in Province of South Carolina?', 'Which city houses the main government of Province of South Carolina?', 'What city is the main administrative center of Province of South Carolina?', 'What urban area holds the capital status of Province of South Carolina?', 'Which city is the political focal point of Province of South Carolina?', 'Which city is the primary seat of authority for Province of South Carolina?', 'What is the principal city of Province of South Carolina?', 'What is the chief city of Province of South Carolina?']",56158,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.1865507774852368, 0.20252716583927727, 0.29183608778798026, 0.2736268704552781, 0.1954742964227605, 0.3165953788946983, 0.2244230764664809, 0.2205285548127704, 0.2639048180350275, 0.2193340207961354]","[0.5380545, 0.28292146, 0.27154472, 0.09481382, 0.29102197, 0.047731392, 0.4709152, 0.48059824, 0.04120664, 0.47844765]"
14165,Province of Georgia,capital,Savannah,2713951,422,2839593,"[""Georgia Colony"",""Colony of Georgia"",""Georgia""]","[""Savannah, Georgia""]",http://www.wikidata.org/entity/Q785035,http://www.wikidata.org/entity/Q83813,Province of Georgia,"Savannah, Georgia",9442,46640,What is the capital of Province of Georgia?,"[""Savannah"", ""Savannah, Georgia""]","['What is the capital of Province of Georgia?', 'What is the primary city in Province of Georgia?', 'Which urban center holds a central role in Province of Georgia?', 'Which city houses the main government of Province of Georgia?', 'What city is the main administrative center of Province of Georgia?', 'What urban area holds the capital status of Province of Georgia?', 'Which city is the political focal point of Province of Georgia?', 'Which city is the primary seat of authority for Province of Georgia?', 'What is the principal city of Province of Georgia?', 'What is the chief city of Province of Georgia?']",56082,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.33333333333333337, 0.4, 0.4, 0, 0.4, 0, 0, 0, 0.4, 0.4]","[0.22575747558717812, 0.19567374488036965, 0.2760750336398462, 0.26944400779078304, 0.19411397804212377, 0.1946666167773355, 0.23111810492629178, 0.20728273390691654, 0.16800243580231594, 0.2103094747041138]","[0.24034755, 0.5423719, 0.29697344, 0.097084425, 0.5458047, 0.26200664, 0.06681841, 0.5032542, 0.6090506, 0.050581843]"
13979,County Cork,capital,Cork,416512,422,1185808,"[""County Cork, Ireland"",""co. Cork"",""co Cork""]","[""Corcaigh""]",http://www.wikidata.org/entity/Q162475,http://www.wikidata.org/entity/Q36647,County Cork,Cork (city),17781,38182,What is the capital of County Cork?,"[""Cork"", ""Corcaigh""]","['What is the capital of County Cork?', 'What is the primary city in County Cork?', 'Which urban center holds a central role in County Cork?', 'Which city houses the main government of County Cork?', 'What city is the main administrative center of County Cork?', 'What urban area holds the capital status of County Cork?', 'Which city is the political focal point of County Cork?', 'Which city is the primary seat of authority for County Cork?', 'What is the principal city of County Cork?', 'What is the chief city of County Cork?']",55963,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.25, 0.33333333333333337, 0.25, 0.25, 0.25, 0.2857142857142857, 0.33333333333333337, 0.33333333333333337, 0.2857142857142857, 0.33333333333333337]","[0.22510053691040416, 0.24568471329624744, 0.2877927163350215, 0.19432189825467827, 0.19764174730291173, 0.3395683869905655, 0.2521246093336458, 0.3037587767015971, 0.310032047663476, 0.2720518252942231]","[0.32874945, 0.41083354, 0.14292324, 0.28710735, 0.29721117, 0.03682422, 0.39877388, 0.36357477, 0.037558142, 0.1306783]"
