Unnamed: 0,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,paraphrases,pop,em_scores,start_scores,f1_scores,uncertainty_metric,prob
13695,Ili Kazakh Autonomous Prefecture,capital,Yining City,2846453,422,2856561,"[""Ili""]","[""Ghulja"",""Yining Shi""]",http://www.wikidata.org/entity/Q848127,http://www.wikidata.org/entity/Q866021,Ili Kazakh Autonomous Prefecture,Yining,4715,4178,What is the capital of Ili Kazakh Autonomous Prefecture?,"[""Yining City"", ""Ghulja"", ""Yining Shi""]","['What is the capital of Ili Kazakh Autonomous Prefecture?', 'What is the primary city in Ili Kazakh Autonomous Prefecture?', 'Which urban center holds a central role in Ili Kazakh Autonomous Prefecture?', 'Which city houses the main government of Ili Kazakh Autonomous Prefecture?', 'What city is the main administrative center of Ili Kazakh Autonomous Prefecture?', 'What urban area holds the capital status of Ili Kazakh Autonomous Prefecture?', 'Which city is the political focal point of Ili Kazakh Autonomous Prefecture?', 'Which city is the primary seat of authority for Ili Kazakh Autonomous Prefecture?', 'What is the principal city of Ili Kazakh Autonomous Prefecture?', 'What is the chief city of Ili Kazakh Autonomous Prefecture?']",8893,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.4346161855645442, 0.2670226422668202, 0.38727128436571967, 0.3693491120562294, 0.332651201607298, 0.6307842438885475, 0.45746582492232796, 0.6000147874257181, 0.3154880425253377, 0.4098804102451516]","[0.12895864, 0.09771236, 0.021883331, 0.2756539, 0.25766018, 0.0100891385, 0.073954724, 0.0067031863, 0.07936254, 0.047403526]"
13950,Hood County,capital,Granbury,1485888,422,2891004,"[""Hood County, Texas""]","[""Granbury, Texas""]",http://www.wikidata.org/entity/Q485912,http://www.wikidata.org/entity/Q923474,"Hood County, Texas","Granbury, Texas",4582,4275,What is the capital of Hood County?,"[""Granbury"", ""Granbury, Texas""]","['What is the capital of Hood County?', 'What is the primary city in Hood County?', 'Which urban center holds a central role in Hood County?', 'Which city houses the main government of Hood County?', 'What city is the main administrative center of Hood County?', 'What urban area holds the capital status of Hood County?', 'Which city is the political focal point of Hood County?', 'Which city is the primary seat of authority for Hood County?', 'What is the principal city of Hood County?', 'What is the chief city of Hood County?']",8857,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.4, 0.25, 0.25, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.33333333333333337, 0.2857142857142857, 0.4, 0.2857142857142857]","[0.39332789259908746, 0.5552807665532467, 0.42980214461427874, 0.5660816195047844, 0.6203423209269936, 0.5088136430416459, 0.5318344650421301, 0.5780521767188606, 0.44053489462671724, 0.4744536392957224]","[0.19153248, 0.057155304, 0.082104534, 0.018834528, 0.008977017, 0.08529527, 0.0059019183, 0.07949686, 0.19490995, 0.16124181]"
14257,Aargau,capital,Aarau,116349,422,233172,"[""AG"",""canton of Argovia"",""Kanton Aargau"",""Argovia"",""Canton of Aargau""]","[""Aarau AG""]",http://www.wikidata.org/entity/Q11972,http://www.wikidata.org/entity/Q14274,Aargau,Aarau,4746,3887,What is the capital of Aargau?,"[""Aarau"", ""Aarau AG""]","['What is the capital of Aargau?', 'What is the primary city in Aargau?', 'Which urban center holds a central role in Aargau?', 'Which city houses the main government of Aargau?', 'What city is the main administrative center of Aargau?', 'What urban area holds the capital status of Aargau?', 'Which city is the political focal point of Aargau?', 'Which city is the primary seat of authority for Aargau?', 'What is the principal city of Aargau?', 'What is the chief city of Aargau?']",8633,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.7482546721325929, 0.4189201777350673, 0.49026463291103, 0.6252578642022599, 0.35125312935873065, 0.46823170868889963, 0.547731974320018, 0.5624788570636229, 0.42410525077685146, 0.7977627063064385]","[0.007715545, 0.10084043, 0.087955914, 0.092437156, 0.3096029, 0.038025633, 0.12062354, 0.054009605, 0.08453734, 0.00070629135]"
14014,Sweet Grass County,capital,Big Timber,1544368,422,2852900,"[""Sweet Grass County, Montana""]","[""Big Timber, Montana""]",http://www.wikidata.org/entity/Q496616,http://www.wikidata.org/entity/Q859439,"Sweet Grass County, Montana","Big Timber, Montana",927,7507,What is the capital of Sweet Grass County?,"[""Big Timber"", ""Big Timber, Montana""]","['What is the capital of Sweet Grass County?', 'What is the primary city in Sweet Grass County?', 'Which urban center holds a central role in Sweet Grass County?', 'Which city houses the main government of Sweet Grass County?', 'What city is the main administrative center of Sweet Grass County?', 'What urban area holds the capital status of Sweet Grass County?', 'Which city is the political focal point of Sweet Grass County?', 'Which city is the primary seat of authority for Sweet Grass County?', 'What is the principal city of Sweet Grass County?', 'What is the chief city of Sweet Grass County?']",8434,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",,"[0.4444444444444445, 0.4444444444444445, 1.0, 0.4444444444444445, 0.4444444444444445, 0.5, 0.5, 0.4, 0.4, 0.4444444444444445]","[0.43497435510071714, 0.5704690673895145, 0.09784868408909543, 0.5111525550189071, 0.4992621429450268, 0.7320967694357045, 0.7991234546417649, 0.555216116569341, 0.5210377463695034, 0.4952543155533905]","[0.10443456, 0.009133899, 0.096251726, 0.13347292, 0.07118396, 0.010656453, 0.0006226803, 0.03160825, 0.05108466, 0.07785737]"
14094,City of Melbourne,capital,Melbourne City Centre,658767,422,2272589,"[""Melbourne City"",""Melbourne""]","[""Melbourne CBD"",""Melbourne, Victoria"",""Melbourne, Victoria, Australia"",""Melbourne city centre""]",http://www.wikidata.org/entity/Q1919098,http://www.wikidata.org/entity/Q6811747,City of Melbourne,Melbourne city centre,4915,3516,What is the capital of City of Melbourne?,"[""Melbourne City Centre"", ""Melbourne CBD"", ""Melbourne, Victoria"", ""Melbourne, Victoria, Australia"", ""Melbourne city centre""]","['What is the capital of City of Melbourne?', 'What is the primary city in City of Melbourne?', 'Which urban center holds a central role in City of Melbourne?', 'Which city houses the main government of City of Melbourne?', 'What city is the main administrative center of City of Melbourne?', 'What urban area holds the capital status of City of Melbourne?', 'Which city is the political focal point of City of Melbourne?', 'Which city is the primary seat of authority for City of Melbourne?', 'What is the principal city of City of Melbourne?', 'What is the chief city of City of Melbourne?']",8431,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.3333333333333333, 0.28571428571428575, 0.3333333333333333, 0.25, 0.3333333333333333, 0.3333333333333333, 0.25, 0.28571428571428575, 0.25, 0.22222222222222224]","[0.3290830180339017, 0.416468902198434, 0.5087617916710997, 0.6878469841803343, 0.439828056729092, 0.4401625483378967, 0.5312297742931107, 0.532377166793965, 0.399435471959227, 0.5091528879210435]","[0.30897757, 0.055099986, 0.0562408, 0.009138844, 0.19013882, 0.14837845, 0.096432246, 0.06725748, 0.16673699, 0.06187494]"
14184,Kavala Regional Unit,capital,Kavala,419414,422,639835,[],[],http://www.wikidata.org/entity/Q1625595,http://www.wikidata.org/entity/Q187352,Kavala (regional unit),Kavala,769,7613,What is the capital of Kavala Regional Unit?,"[""Kavala""]","['What is the capital of Kavala Regional Unit?', 'What is the primary city in Kavala Regional Unit?', 'Which urban center holds a central role in Kavala Regional Unit?', 'Which city houses the main government of Kavala Regional Unit?', 'What city is the main administrative center of Kavala Regional Unit?', 'What urban area holds the capital status of Kavala Regional Unit?', 'Which city is the political focal point of Kavala Regional Unit?', 'Which city is the primary seat of authority for Kavala Regional Unit?', 'What is the principal city of Kavala Regional Unit?', 'What is the chief city of Kavala Regional Unit?']",8382,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.3033022509082172, 0.3313059189040087, 0.5104617815474964, 0.32530482551631734, 0.2961387071422338, 0.3398806370289411, 0.3205981214408201, 0.28530991849505144, 0.2021746547680986, 0.24813374550184586]","[0.14309326, 0.017943133, 0.023459185, 0.30431533, 0.3499009, 0.19689494, 0.2160253, 0.29048198, 0.52394354, 0.23022047]"
13875,Kingdom of Sussex,capital,Selsey,2246878,422,827441,"[""Sussex""]","[""Selsey, West Sussex""]",http://www.wikidata.org/entity/Q676184,http://www.wikidata.org/entity/Q2439624,Kingdom of Sussex,Selsey,5394,2654,What is the capital of Kingdom of Sussex?,"[""Selsey"", ""Selsey, West Sussex""]","['What is the capital of Kingdom of Sussex?', 'What is the primary city in Kingdom of Sussex?', 'Which urban center holds a central role in Kingdom of Sussex?', 'Which city houses the main government of Kingdom of Sussex?', 'What city is the main administrative center of Kingdom of Sussex?', 'What urban area holds the capital status of Kingdom of Sussex?', 'Which city is the political focal point of Kingdom of Sussex?', 'Which city is the primary seat of authority for Kingdom of Sussex?', 'What is the principal city of Kingdom of Sussex?', 'What is the chief city of Kingdom of Sussex?']",8048,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.6889592928832201, 0.15223125997156023, 0.15976702827980527, 0.6058736115240914, 0.1513640472427125, 0.62816117634417, 0.15926969990824758, 0.14857322739140502, 0.547941827834802, 0.15973620963742502]","[0.00054920145, 0.26082864, 0.3665897, 0.06486264, 0.49349013, 0.0057953317, 0.3973148, 0.23905514, 0.11054754, 0.3605638]"
13694,Kerman Province,capital,Kerman,436242,422,531639,"[""Kerman""]","[""Kerm\u0101n"",""Kermun"",""Kirman"",""Carmania""]",http://www.wikidata.org/entity/Q165352,http://www.wikidata.org/entity/Q171714,Kerman Province,Kerman,2813,5163,What is the capital of Kerman Province?,"[""Kerman"", ""Kermān"", ""Kermun"", ""Kirman"", ""Carmania""]","['What is the capital of Kerman Province?', 'What is the primary city in Kerman Province?', 'Which urban center holds a central role in Kerman Province?', 'Which city houses the main government of Kerman Province?', 'What city is the main administrative center of Kerman Province?', 'What urban area holds the capital status of Kerman Province?', 'Which city is the political focal point of Kerman Province?', 'Which city is the primary seat of authority for Kerman Province?', 'What is the principal city of Kerman Province?', 'What is the chief city of Kerman Province?']",7976,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.33333333333333337, 1.0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5498498568946248, 0.10582716290795441, 0.5219877389143204, 0.5293657304585906, 0.47713867334138826, 0.5920059316702588, 0.4775364826266766, 0.5285799522476491, 0.49559129730196694, 0.48935604711077674]","[0.013845451, 0.11072743, 0.010036496, 0.025980381, 0.006924495, 0.006089126, 0.12983845, 0.050183248, 0.1340098, 0.12524596]"
14097,Świętokrzyskie Voivodeship,capital,Kielce,1783675,422,9991,"[""Wojew\u00f3dztwo \u015bwi\u0119tokrzyskie"",""Holy Cross Voivodeship""]","[""Keltz"",""Kel'tse"",""Kelts"",""Kilts"",""Kiltz"",""Kel'tsy""]",http://www.wikidata.org/entity/Q54183,http://www.wikidata.org/entity/Q102317,Świętokrzyskie Voivodeship,Kielce,2797,5155,What is the capital of Świętokrzyskie Voivodeship?,"[""Kielce"", ""Keltz"", ""Kel'tse"", ""Kelts"", ""Kilts"", ""Kiltz"", ""Kel'tsy""]","['What is the capital of Świętokrzyskie Voivodeship?', 'What is the primary city in Świętokrzyskie Voivodeship?', 'Which urban center holds a central role in Świętokrzyskie Voivodeship?', 'Which city houses the main government of Świętokrzyskie Voivodeship?', 'What city is the main administrative center of Świętokrzyskie Voivodeship?', 'What urban area holds the capital status of Świętokrzyskie Voivodeship?', 'Which city is the political focal point of Świętokrzyskie Voivodeship?', 'Which city is the primary seat of authority for Świętokrzyskie Voivodeship?', 'What is the principal city of Świętokrzyskie Voivodeship?', 'What is the chief city of Świętokrzyskie Voivodeship?']",7952,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.4, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.33333333333333337, 0.33333333333333337, 0.2857142857142857, 0.4, 0.33333333333333337, 0.33333333333333337]","[0.23327207823139057, 0.2514790845505403, 0.3559836942023936, 0.37346688142029494, 0.6030707253640235, 0.35636914145999354, 0.3031301874723302, 0.4725731094901991, 0.27796862277544687, 0.45509811616703666]","[0.43708465, 0.2622072, 0.35102144, 0.29031238, 0.004385436, 0.22298375, 0.33313444, 0.013805158, 0.25318962, 0.009472939]"
13892,Nyanza Province,capital,Kisumu,1233841,422,747953,[],"[""Kisii"",""City of Kisii"",""Kisumu City"",""Port Florence""]",http://www.wikidata.org/entity/Q38589,http://www.wikidata.org/entity/Q214485,Nyanza Province,Kisumu,2018,5820,What is the capital of Nyanza Province?,"[""Kisumu"", ""Kisii"", ""City of Kisii"", ""Kisumu City"", ""Port Florence""]","['What is the capital of Nyanza Province?', 'What is the primary city in Nyanza Province?', 'Which urban center holds a central role in Nyanza Province?', 'Which city houses the main government of Nyanza Province?', 'What city is the main administrative center of Nyanza Province?', 'What urban area holds the capital status of Nyanza Province?', 'Which city is the political focal point of Nyanza Province?', 'Which city is the primary seat of authority for Nyanza Province?', 'What is the principal city of Nyanza Province?', 'What is the chief city of Nyanza Province?']",7838,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.33333333333333337, 0.4, 0.4, 0.33333333333333337, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.4, 0.33333333333333337]","[0.45203009920620746, 0.3711876212612222, 0.5127236745366167, 0.49005860099105925, 0.40791492466414236, 0.3923740214975734, 0.5236050660937496, 0.4266879566719453, 0.3944866468832095, 0.440232029963011]","[0.10541048, 0.16422385, 0.08563474, 0.09742251, 0.09830415, 0.26666218, 0.027712421, 0.19410622, 0.1521574, 0.014843792]"
