Unnamed: 0,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,paraphrases,pop,em_scores,start_scores,f1_scores,uncertainty_metric,prob
9524,The Sea Hawk,screenwriter,Howard Koch,114585,533,184486,"[""Sea Hawk""]","[""Peter Howard""]",http://www.wikidata.org/entity/Q1194282,http://www.wikidata.org/entity/Q1343692,The Sea Hawk (1940 film),Howard Koch (screenwriter),6575,1487,Who was the screenwriter for The Sea Hawk?,"[""Howard Koch"", ""Peter Howard""]","['Who was the screenwriter for The Sea Hawk?', 'Who wrote the screenplay for The Sea Hawk?', 'Who was the scribe of the screenplay in The Sea Hawk?', ""Who took on the role of crafting The Sea Hawk's script?"", 'Who was responsible for composing the screenplay of The Sea Hawk?', 'Who was the wordsmith behind the screenplay of The Sea Hawk?', 'Who penned the script for The Sea Hawk?', 'Who authored the screenplay of The Sea Hawk?', ""Who was the primary influencer in shaping The Sea Hawk's screenplay composition?"", ""Who scripted The Sea Hawk's story?""]",8062,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.4, 0.22222222222222224, 0.3333333333333333, 0.4444444444444445, 0.5, 0.3333333333333333, 0.22222222222222224, 0.3333333333333333, 0.4, 0.25]","[0.5048258781151344, 0.43427329886411686, 0.4926214615769211, 0.6555886972066377, 0.35376112276439586, 0.33069988219238383, 0.44666628428501, 0.17557260947502432, 0.6342068210290785, 0.506745070551371]","[0.041308854, 0.0061100237, 0.005123218, 0.0053300834, 0.008528943, 0.07987244, 0.0068885, 0.008692679, 0.06978042, 0.0029775847]"
9234,My Family,screenwriter,Gregory Nava,574910,533,881005,[],[],http://www.wikidata.org/entity/Q1783892,http://www.wikidata.org/entity/Q2617255,My Family (film),Gregory Nava,6392,1667,Who was the screenwriter for My Family?,"[""Gregory Nava""]","['Who was the screenwriter for My Family?', 'Who wrote the screenplay for My Family?', 'Who was the scribe of the screenplay in My Family?', ""Who took on the role of crafting My Family's script?"", 'Who was responsible for composing the screenplay of My Family?', 'Who was the wordsmith behind the screenplay of My Family?', 'Who penned the script for My Family?', 'Who authored the screenplay of My Family?', ""Who was the primary influencer in shaping My Family's screenplay composition?"", ""Who scripted My Family's story?""]",8059,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.48989189782425024, 0.2932107526055914, 0.4418408197867908, 0.5407544815021071, 0.5915588868370769, 0.6025052351026796, 0.5023390725130641, 0.479886942611359, 0.45393220016116975, 0.4110497514380481]","[0.016479203, 0.0012201497, 0.02347741, 0.000108072985, 0.040527027, 0.03604194, 0.008719634, 0.010265495, 0.007468769, 6.8989716e-06]"
8450,Dev,screenwriter,Govind Nihalani,64105,533,1026189,[],[],http://www.wikidata.org/entity/Q11056517,http://www.wikidata.org/entity/Q3112826,Dev (2004 film),Govind Nihalani,3311,4747,Who was the screenwriter for Dev?,"[""Govind Nihalani""]","['Who was the screenwriter for Dev?', 'Who wrote the screenplay for Dev?', 'Who was the scribe of the screenplay in Dev?', ""Who took on the role of crafting Dev's script?"", 'Who was responsible for composing the screenplay of Dev?', 'Who was the wordsmith behind the screenplay of Dev?', 'Who penned the script for Dev?', 'Who authored the screenplay of Dev?', ""Who was the primary influencer in shaping Dev's screenplay composition?"", ""Who scripted Dev's story?""]",8058,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.3866232732748107, 0.10670952657771011, 0.28072742179874366, 0.7001744466240466, 0.3358152636878621, 0.48355147581339164, 0.549805461012356, 0.49690153588104724, 0.29111360363592376, 0.28831936902206534]","[0.1985503, 0.0008058035, 0.047117714, 0.045279935, 0.1345171, 0.03367951, 0.01443451, 0.00012437261, 0.012869215, 0.0004861163]"
8968,Face,screenwriter,Tsai Ming-liang,81863,533,2336348,"[""Visage""]","[""Ming-liang Tsai""]",http://www.wikidata.org/entity/Q1139528,http://www.wikidata.org/entity/Q698710,Face (2009 film),Tsai Ming-liang,646,7333,Who was the screenwriter for Face?,"[""Tsai Ming-liang"", ""Ming-liang Tsai""]","['Who was the screenwriter for Face?', 'Who wrote the screenplay for Face?', 'Who was the scribe of the screenplay in Face?', ""Who took on the role of crafting Face's script?"", 'Who was responsible for composing the screenplay of Face?', 'Who was the wordsmith behind the screenplay of Face?', 'Who penned the script for Face?', 'Who authored the screenplay of Face?', ""Who was the primary influencer in shaping Face's screenplay composition?"", ""Who scripted Face's story?""]",7979,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5175713298510838, 0.4553345069826603, 0.6182504894683839, 0.5240019865446222, 0.5227638848294082, 0.043678831301086844, 0.0584158216294385, 0.6507160107279337, 0.692322989880225, 0.37650747762437997]","[0.0425429, 0.01876401, 3.431015e-05, 0.0037629341, 0.00031083295, 0.8935472, 0.8543257, 0.001369687, 0.0062779603, 0.02496519]"
8590,The Command,screenwriter,Samuel Fuller,807735,533,883520,"[""Command""]","[""Samuel Michael Fuller"",""Sam Fuller""]",http://www.wikidata.org/entity/Q2371533,http://www.wikidata.org/entity/Q262479,The Command (1954 film),Samuel Fuller,1044,6912,Who was the screenwriter for The Command?,"[""Samuel Fuller"", ""Samuel Michael Fuller"", ""Sam Fuller""]","['Who was the screenwriter for The Command?', 'Who wrote the screenplay for The Command?', 'Who was the scribe of the screenplay in The Command?', ""Who took on the role of crafting The Command's script?"", 'Who was responsible for composing the screenplay of The Command?', 'Who was the wordsmith behind the screenplay of The Command?', 'Who penned the script for The Command?', 'Who authored the screenplay of The Command?', ""Who was the primary influencer in shaping The Command's screenplay composition?"", ""Who scripted The Command's story?""]",7956,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0]","[0.1725955283314843, 0.42088539944296477, 0.5347665995964599, 0.6077899352057362, 0.23821001985606582, 0.7220334392649026, 0.7264879203253393, 0.4720927170742375, 0.511223066290558, 0.17253108729278052]","[0.005470444, 0.0017303819, 0.019405264, 0.002961016, 0.00019013925, 0.00058514846, 0.006319971, 0.059068996, 0.11159149, 0.21788111]"
9532,Emma,screenwriter,Sandy Welch,179621,533,1136281,[],[],http://www.wikidata.org/entity/Q1337993,http://www.wikidata.org/entity/Q3472122,Emma (2009 TV serial),Sandy Welch,7218,713,Who was the screenwriter for Emma?,"[""Sandy Welch""]","['Who was the screenwriter for Emma?', 'Who wrote the screenplay for Emma?', 'Who was the scribe of the screenplay in Emma?', ""Who took on the role of crafting Emma's script?"", 'Who was responsible for composing the screenplay of Emma?', 'Who was the wordsmith behind the screenplay of Emma?', 'Who penned the script for Emma?', 'Who authored the screenplay of Emma?', ""Who was the primary influencer in shaping Emma's screenplay composition?"", ""Who scripted Emma's story?""]",7931,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.17685627873864757, 0.27184091272350835, 0.4154808916287758, 0.29584184832858906, 0.5786151508697922, 0.32354427566654476, 0.307164317959359, 0.3764411479968578, 0.20451596894264237, 0.34258288764308437]","[0.0035598828, 0.00014170948, 0.032363582, 0.013450965, 0.022352176, 0.009900505, 0.013486867, 0.006367611, 0.032917514, 0.0020311843]"
9518,Get Me a Lawyer,screenwriter,Daniel Zelman,1855810,533,1675361,"[""Pilot""]","[""Daniel Luke Zelman""]",http://www.wikidata.org/entity/Q5554033,http://www.wikidata.org/entity/Q5219149,Get Me a Lawyer,Daniel Zelman,262,7651,Who was the screenwriter for Get Me a Lawyer?,"[""Daniel Zelman"", ""Daniel Luke Zelman""]","['Who was the screenwriter for Get Me a Lawyer?', 'Who wrote the screenplay for Get Me a Lawyer?', 'Who was the scribe of the screenplay in Get Me a Lawyer?', ""Who took on the role of crafting Get Me a Lawyer's script?"", 'Who was responsible for composing the screenplay of Get Me a Lawyer?', 'Who was the wordsmith behind the screenplay of Get Me a Lawyer?', 'Who penned the script for Get Me a Lawyer?', 'Who authored the screenplay of Get Me a Lawyer?', ""Who was the primary influencer in shaping Get Me a Lawyer's screenplay composition?"", ""Who scripted Get Me a Lawyer's story?""]",7913,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.48457836700738427, 0.5293569635023754, 0.5618634585866435, 0.4377914292065284, 0.34958993812188505, 0.599388764761421, 0.563410612356871, 0.6113832570306905, 0.6235449978636415, 0.33687524918606593]","[9.429039e-06, 0.0025836667, 9.476268e-06, 0.0015954713, 0.0011490259, 0.007274044, 0.026890825, 0.016963454, 0.0020269698, 0.03058484]"
8950,Ars,screenwriter,Jacques Demy,951976,533,1029542,[],[],http://www.wikidata.org/entity/Q2864347,http://www.wikidata.org/entity/Q312258,Ars (film),Jacques Demy,145,7718,Who was the screenwriter for Ars?,"[""Jacques Demy""]","['Who was the screenwriter for Ars?', 'Who wrote the screenplay for Ars?', 'Who was the scribe of the screenplay in Ars?', ""Who took on the role of crafting Ars's script?"", 'Who was responsible for composing the screenplay of Ars?', 'Who was the wordsmith behind the screenplay of Ars?', 'Who penned the script for Ars?', 'Who authored the screenplay of Ars?', ""Who was the primary influencer in shaping Ars's screenplay composition?"", ""Who scripted Ars's story?""]",7863,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5878051367306004, 0.4650740908295446, 0.6675179449438126, 0.6189201365410567, 0.5114930980404839, 0.5325467632209867, 0.4599226434919286, 0.27448353806462256, 0.6697365017526283, 0.4100648562478145]","[0.0025547913, 0.0061498727, 0.00011700977, 0.00015350764, 1.1923697e-05, 0.049717296, 0.0015474062, 0.0013604051, 0.0006286308, 0.0075081293]"
10011,The Throne,screenwriter,Lee Joon-ik,600310,533,1891100,"[""\uc0ac\ub3c4"",""Sado"",""Throne""]","[""Lee Jun Ik""]",http://www.wikidata.org/entity/Q18180905,http://www.wikidata.org/entity/Q563013,The Throne (film),Lee Joon-ik,6201,1658,Who was the screenwriter for The Throne?,"[""Lee Joon-ik"", ""Lee Jun Ik""]","['Who was the screenwriter for The Throne?', 'Who wrote the screenplay for The Throne?', 'Who was the scribe of the screenplay in The Throne?', ""Who took on the role of crafting The Throne's script?"", 'Who was responsible for composing the screenplay of The Throne?', 'Who was the wordsmith behind the screenplay of The Throne?', 'Who penned the script for The Throne?', 'Who authored the screenplay of The Throne?', ""Who was the primary influencer in shaping The Throne's screenplay composition?"", ""Who scripted The Throne's story?""]",7859,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.08993224698468007, 0.4969862686405217, 0.5924083044567641, 0.3868271748130148, 0.3487470773251735, 0.8087708439494177, 0.6641260247556581, 0.3288522220769573, 0.5697256795691354, 0.6346753132901533]","[0.00084576843, 0.0076233326, 0.10059082, 0.09592714, 0.2704034, 0.0010535922, 0.015477943, 0.30604014, 0.0013205035, 2.5666486e-06]"
8498,Sumurun,screenwriter,Ernst Lubitsch,1082134,533,1643146,[],[],http://www.wikidata.org/entity/Q329564,http://www.wikidata.org/entity/Q51562,Sumurun,Ernst Lubitsch,407,7437,Who was the screenwriter for Sumurun?,"[""Ernst Lubitsch""]","['Who was the screenwriter for Sumurun?', 'Who wrote the screenplay for Sumurun?', 'Who was the scribe of the screenplay in Sumurun?', ""Who took on the role of crafting Sumurun's script?"", 'Who was responsible for composing the screenplay of Sumurun?', 'Who was the wordsmith behind the screenplay of Sumurun?', 'Who penned the script for Sumurun?', 'Who authored the screenplay of Sumurun?', ""Who was the primary influencer in shaping Sumurun's screenplay composition?"", ""Who scripted Sumurun's story?""]",7844,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0.5714285714285715, 0, 0, 0.5, 0, 0, 0, 0, 0]","[0.24312085288058344, 0.4696292143336936, 0.2754266144821122, 0.5159383834454289, 0.3889036625313921, 0.5700798971952931, 0.7029817997891432, 0.36124175927805774, 0.5090352386750092, 0.5087843059793751]","[0.006272819, 0.001105428, 0.007387072, 4.8180667e-05, 0.22284876, 0.08330612, 0.036456726, 0.0061367434, 0.046946354, 0.06468184]"
