Unnamed: 0,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,paraphrases,pop,em_scores,start_scores,f1_scores,uncertainty_metric,prob
278,Shiva Nageswara Rao,occupation,film director,2566262,22,854535,"[""Siva Nageswara Rao""]","[""movie director"",""director"",""motion picture director""]",http://www.wikidata.org/entity/Q7499244,http://www.wikidata.org/entity/Q2526255,Siva Nageswara Rao,Film director,1491,45772,What is Shiva Nageswara Rao's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director""]","['What does Shiva Nageswara Rao do for a living?', ""What is Shiva Nageswara Rao's occupation?"", ""What is Shiva Nageswara Rao's profession?"", ""What is Shiva Nageswara Rao's line of work?"", 'What job role is Shiva Nageswara Rao engaged in?', 'What career path has Shiva Nageswara Rao chosen?', 'What field of employment is Shiva Nageswara Rao part of?', ""What is Shiva Nageswara Rao's source of professional engagement?"", ""What is Shiva Nageswara Rao's vocational pursuit?"", 'What field of work is Shiva Nageswara Rao engaged in?']",47263,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.607000588682482, 0.547236305451732, 0.44358308697346205, 0.5268669254108835, 0.16387774286899087, 0.6184182949683199, 0.28778483694654966, 0.3732671866881009, 0.5848815225080806, 0.446501780484192]","[0.003516386, 0.015835952, 0.09761794, 0.06079007, 0.02504722, 0.005457935, 0.11672167, 0.040204998, 0.0056115324, 0.0015914844]"
194,Ron Nyswaner,occupation,film director,153170,22,854535,[],"[""movie director"",""director"",""motion picture director""]",http://www.wikidata.org/entity/Q1281149,http://www.wikidata.org/entity/Q2526255,Ron Nyswaner,Film director,1186,45772,What is Ron Nyswaner's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter""]","['What does Ron Nyswaner do for a living?', ""What is Ron Nyswaner's occupation?"", ""What is Ron Nyswaner's profession?"", ""What is Ron Nyswaner's line of work?"", 'What job role is Ron Nyswaner engaged in?', 'What career path has Ron Nyswaner chosen?', 'What field of employment is Ron Nyswaner part of?', ""What is Ron Nyswaner's source of professional engagement?"", ""What is Ron Nyswaner's vocational pursuit?"", 'What field of work is Ron Nyswaner engaged in?']",46958,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.025056501816203506, 0.060732037622180504, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.9404989, 0.8479677, 1.0, 1.0, 1.0]"
227,William Greaves,occupation,film director,2789004,22,854535,[],"[""movie director"",""director"",""motion picture director""]",http://www.wikidata.org/entity/Q8010139,http://www.wikidata.org/entity/Q2526255,William Greaves,Film director,839,45772,What is William Greaves's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director""]","['What does William Greaves do for a living?', ""What is William Greaves's occupation?"", ""What is William Greaves's profession?"", ""What is William Greaves's line of work?"", 'What job role is William Greaves engaged in?', 'What career path has William Greaves chosen?', 'What field of employment is William Greaves part of?', ""What is William Greaves's source of professional engagement?"", ""What is William Greaves's vocational pursuit?"", 'What field of work is William Greaves engaged in?']",46611,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5781301164918875, 0.5520484288358867, 0.6391319662496691, 0.13432231845253065, 0.549340731130398, 0.6015679985804366, 0.677997769642239, 0.12177871096236896, 0.574802921866428, 0.5112690175381831]","[0.051460654, 0.068206385, 0.026653063, 0.18087715, 0.014919621, 0.006193779, 0.028001353, 0.14543864, 0.034354664, 0.0018597771]"
201,Mr. Porter,occupation,record producer,1367479,22,620958,"[""Denaun Montez Porter"",""Kon Artis"",""Denaun Porter""]","[""music producer""]",http://www.wikidata.org/entity/Q465127,http://www.wikidata.org/entity/Q183945,Denaun Porter,Record producer,3629,42844,What is Mr. Porter's occupation?,"[""record producer"", ""music producer""]","['What does Mr. Porter do for a living?', ""What is Mr. Porter's occupation?"", ""What is Mr. Porter's profession?"", ""What is Mr. Porter's line of work?"", 'What job role is Mr. Porter engaged in?', 'What career path has Mr. Porter chosen?', 'What field of employment is Mr. Porter part of?', ""What is Mr. Porter's source of professional engagement?"", ""What is Mr. Porter's vocational pursuit?"", 'What field of work is Mr. Porter engaged in?']",46473,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.7791177785958207, 0.15894241830307707, 0.1529488019297001, 0.4573278963483922, 0.0, 0.887427761466727, 0.786426904356053, 0.6971322670019289, 0.09935804277435277]","[1.0, 0.0034795199, 0.33111975, 0.48047864, 0.0019352699, 1.0, 0.0003900677, 0.02189652, 0.0015152603, 0.09887013]"
12,Fred C. Newmeyer,occupation,film director,244172,22,854535,"[""Fred Richard Newmeyer"",""Fred R. Newmeyer"",""Fred Newmeyer""]","[""movie director"",""director"",""motion picture director""]",http://www.wikidata.org/entity/Q1452243,http://www.wikidata.org/entity/Q2526255,Fred C. Newmeyer,Film director,461,45772,What is Fred C. Newmeyer's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]","['What does Fred C. Newmeyer do for a living?', ""What is Fred C. Newmeyer's occupation?"", ""What is Fred C. Newmeyer's profession?"", ""What is Fred C. Newmeyer's line of work?"", 'What job role is Fred C. Newmeyer engaged in?', 'What career path has Fred C. Newmeyer chosen?', 'What field of employment is Fred C. Newmeyer part of?', ""What is Fred C. Newmeyer's source of professional engagement?"", ""What is Fred C. Newmeyer's vocational pursuit?"", 'What field of work is Fred C. Newmeyer engaged in?']",46233,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.42897455775020826, 0.4982189554291332, 0.32711147873270435, 0.3773830738941778, 0.45676696988621496, 0.5093873806203345, 0.47576798014841304, 0.5080399039640366, 0.15433025823086524, 0.16502376685362144]","[0.07592577, 0.056556415, 0.20069528, 0.11327634, 0.008927513, 0.14207797, 0.00078419363, 0.022592034, 0.27616978, 0.08685963]"
221,Mildred Okwo,occupation,film director,609900,22,854535,[],"[""movie director"",""director"",""motion picture director""]",http://www.wikidata.org/entity/Q18344870,http://www.wikidata.org/entity/Q2526255,Mildred Okwo,Film director,247,45772,What is Mildred Okwo's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director""]","['What does Mildred Okwo do for a living?', ""What is Mildred Okwo's occupation?"", ""What is Mildred Okwo's profession?"", ""What is Mildred Okwo's line of work?"", 'What job role is Mildred Okwo engaged in?', 'What career path has Mildred Okwo chosen?', 'What field of employment is Mildred Okwo part of?', ""What is Mildred Okwo's source of professional engagement?"", ""What is Mildred Okwo's vocational pursuit?"", 'What field of work is Mildred Okwo engaged in?']",46019,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.6338339442816374, 0.13312481241808435, 0.10049536381120919, 0.5587323243411295, 0.49341317446470867, 0.5791322962827901, 0.6128751480502732, 0.6500613605331477, 0.391419758235501, 0.5765163086242998]","[0.008448261, 0.17705062, 0.10087861, 0.010750024, 0.0027417562, 0.053669337, 0.0034148956, 0.0040375493, 0.009454563, 0.0077009494]"
479,Žarko Petan,occupation,film director,1248952,22,854535,[],"[""movie director"",""director"",""motion picture director""]",http://www.wikidata.org/entity/Q393407,http://www.wikidata.org/entity/Q2526255,Žarko Petan,Film director,106,45772,What is Žarko Petan's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter""]","['What does Žarko Petan do for a living?', ""What is Žarko Petan's occupation?"", ""What is Žarko Petan's profession?"", ""What is Žarko Petan's line of work?"", 'What job role is Žarko Petan engaged in?', 'What career path has Žarko Petan chosen?', 'What field of employment is Žarko Petan part of?', ""What is Žarko Petan's source of professional engagement?"", ""What is Žarko Petan's vocational pursuit?"", 'What field of work is Žarko Petan engaged in?']",45878,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.6201946463359035, 0.4232241448109461, 0.5898945813282759, 0.0, 0.0, 0.159754595018142, 0.5708106067025551, 0.5183467819055232, 0.0, 0.5735203558093162]","[0.0028131208, 0.048314847, 0.0093714865, 1.0, 1.0, 0.37265724, 0.0012796966, 0.0049884426, 1.0, 0.04790008]"
398,Eleanor Yule,occupation,film director,1752740,22,854535,[],"[""movie director"",""director"",""motion picture director""]",http://www.wikidata.org/entity/Q5354421,http://www.wikidata.org/entity/Q2526255,Eleanor Yule,Film director,103,45772,What is Eleanor Yule's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director""]","['What does Eleanor Yule do for a living?', ""What is Eleanor Yule's occupation?"", ""What is Eleanor Yule's profession?"", ""What is Eleanor Yule's line of work?"", 'What job role is Eleanor Yule engaged in?', 'What career path has Eleanor Yule chosen?', 'What field of employment is Eleanor Yule part of?', ""What is Eleanor Yule's source of professional engagement?"", ""What is Eleanor Yule's vocational pursuit?"", 'What field of work is Eleanor Yule engaged in?']",45875,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.44225326541084, 0.0, 0.0, 0.14675869974928715, 0.7781041256448195, 0.1529488019297001, 0.0, 0.11077505973438247]","[1.0, 1.0, 0.15008272, 1.0, 1.0, 0.526018, 0.0007097756, 0.48047864, 1.0, 0.69153154]"
294,Kyaw Swe,occupation,film director,2157263,22,854535,[],"[""movie director"",""director"",""motion picture director""]",http://www.wikidata.org/entity/Q6450829,http://www.wikidata.org/entity/Q2526255,Kyaw Swe (actor),Film director,97,45772,What is Kyaw Swe's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""actor"", ""actress"", ""actors"", ""actresses""]","['What does Kyaw Swe do for a living?', ""What is Kyaw Swe's occupation?"", ""What is Kyaw Swe's profession?"", ""What is Kyaw Swe's line of work?"", 'What job role is Kyaw Swe engaged in?', 'What career path has Kyaw Swe chosen?', 'What field of employment is Kyaw Swe part of?', ""What is Kyaw Swe's source of professional engagement?"", ""What is Kyaw Swe's vocational pursuit?"", 'What field of work is Kyaw Swe engaged in?']",45869,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5738940725901943, 0.8605218451204334, 0.5030319721647922, 0.7568547329380847, 0.389031488266971, 0.5649317767344578, 0.38174878330202644, 0.0, 0.5921340499977136, 0.3849102017975953]","[0.015109509, 0.0050764238, 0.0030328394, 0.0011611059, 0.023470236, 0.0034613777, 0.01335496, 1.0, 0.0024102447, 0.035044547]"
412,Andy C,occupation,record producer,1235945,22,620958,[],"[""music producer""]",http://www.wikidata.org/entity/Q387288,http://www.wikidata.org/entity/Q183945,Andy C,Record producer,2804,42844,What is Andy C's occupation?,"[""disc jockey"", ""DJ"", ""dee jay"", ""dj"", ""D.J."", ""disk jockey"", ""dee-jay"", ""deejay"", ""disquaire"", ""discaire"", ""record producer"", ""music producer""]","['What does Andy C do for a living?', ""What is Andy C's occupation?"", ""What is Andy C's profession?"", ""What is Andy C's line of work?"", 'What job role is Andy C engaged in?', 'What career path has Andy C chosen?', 'What field of employment is Andy C part of?', ""What is Andy C's source of professional engagement?"", ""What is Andy C's vocational pursuit?"", 'What field of work is Andy C engaged in?']",45648,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",,"[0, 0.33333333333333337, 0.33333333333333337, 0.2857142857142857, 1.0, 0, 0, 0.33333333333333337, 0.25, 0]","[0.0, 0.401309945942681, 0.5611074124952006, 0.47057389753702294, 0.1256559654186402, 0.47691592649532905, 0.7130433790926166, 0.47754325053051055, 0.6970308964912043, 0.4067584396997232]","[1.0, 0.027458528, 0.050117534, 0.06685202, 0.15541992, 0.09499902, 0.004998619, 0.053981204, 0.0039737346, 0.10658772]"
